No,provinsi,Sungai,2017,2018,2019,2020,2021,2022
1,ACEH,Krueng Tamiang,Cemar Sedang,Cemar Ringan Cemar Sedang,Cemar RinganCemar Sedang,Cemar Ringan,Cemar Ringan,Cemar Ringan
2,ACEH,Krueng Baroe,,,,,Cemar Ringan,Cemar Ringan
3,SUMATERA UTARA,Batahan,Cemar Sedang,Cemar Sedang,Cemar Sedang,Cemar Ringan,Cemar Ringan,Cemar Ringan
4,SUMATERA UTARA,Asahan,,,Cemar Berat,Cemar Ringan,Cemar Ringan,Memenuhi  Cemar Ringan
5,SUMATERA BARAT,Batanghari,Cemar Berat,Cemar Berat,Cemar Berat,,Cemar Ringan,Cemar Ringan
6,SUMATERA BARAT,Batang Kampar,Cemar SedangCemar Berat,Cemar Berat,Cemar Berat,,,
7,SUMATERA BARAT,Batang Kuantan,Cemar SedangCemar Berat,Cemar SedangCemar Berat,Cemar Berat,,Cemar Ringan,Cemar Ringan
8,SUMATERA BARAT,Batang Anai,,,Cemar RinganCemar Ringan,Cemar Ringan,Cemar Ringan,Cemar Ringan
9,SUMATERA BARAT,Batang Ombilin,,,Cemar RinganCemar Ringan,Cemar Ringan,Cemar Ringan,Cemar Ringan
10,SUMATERA BARAT,Batang Sinamar,,,Cemar RinganCemar Ringan,Cemar Ringan,,Cemar Ringan
11,RIAU,Indragiri,Cemar SedangCemar Berat,Cemar SedangCemar Berat,Cemar SedangCemar Berat,Cemar SedangCemar Berat,,
12,RIAU,Siak,Cemar Berat,Cemar SedangCemar Berat,Cemar Berat,Cemar SedangCemar Berat,Cemar Ringan,Cemar Ringan
13,RIAU,Rokan,Cemar SedangCemar Berat,Cemar SedangCemar Berat,Cemar SedangCemar Berat,Cemar SedangCemar Berat,,
14,RIAU,Kampar,Cemar SedangCemar Berat,Cemar SedangCemar Berat,Cemar SedangCemar Berat,Cemar SedangCemar Berat,Cemar SedangBerat,Cemar Ringan
15,JAMBI,Batanghari,Cemar Ringan Cemar Sedang,Cemar Ringan Cemar Sedang,Cemar Sedang,Cemar Sedang,Cemar Ringan,Cemar Ringan
16,JAMBI,Batang Tembesi,,,,,Cemar Ringan,
17,JAMBI,Batang Tebo,,,,,,Memenuhi
18,JAMBI,Batang Tabir,,,,,,Cemar Ringan
19,SUMATERA SELATAN,Musi,Cemar Berat,Cemar SedangCemar Berat,Cemar Berat,Cemar Berat,Cemar Ringan,Cemar Ringan  Sedang
20,SUMATERA SELATAN,Temam,,,,,,Memenuhi
21,SUMATERA SELATAN,Megang,,,,,,Memenuhi
22,BENGKULU,Musi,Cemar Ringan Cemar Sedang,Cemar Ringan Cemar Sedang,Cemar Ringan  Cemar Sedang,Cemar RinganCemar Sedang,,Cemar Ringan  Sedang
23,LAMPUNG,Mesuji,Cemar Berat,Cemar Berat,Cemar Berat,Cemar Berat,Cemar Ringan,Cemar Ringan
24,LAMPUNG,Sekampung,Cemar Berat,Cemar Berat,Cemar Berat,Cemar Berat,Cemar Ringan,Cemar Ringan
